Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA DE LA GARZA BARROSO, Muy buenas tardes a todos y todas.,0.0,7,16,03,2020
ANA DE LA GARZA BARROSO,"Como ya bien comentamos, la Unidad de Inteligencia Epidemiológica y Sanitaria, la conocen bien todos ustedes, es aquella donde está el número 800 de atención que tenemos para la población. Me voy a permitir comentarles un poco de las actividades que hace esta unidad de inteligencia.",0.0,46,16,03,2020
ANA DE LA GARZA BARROSO,"En esta unidad de inteligencia se encuentra un trabajo epidemiológico importante de nuestro país, en el cual participan de forma permanente las 24 horas los siete días como una gran fortaleza de nuestro Sistema Nacional de Vigilancia Epidemiológica expertos epidemiólogos que están atendiendo este tema, tanto las llamadas como también atienden y realizan un monitoreo permanente, del cual les voy a hablar un poco esta tarde.",0.0,66,16,03,2020
ANA DE LA GARZA BARROSO,"En esta unidad, como les comentaba, la unidad funciona 24 horas los siete días de la semana durante todo el año.",0.0,21,16,03,2020
ANA DE LA GARZA BARROSO,"Esta unidad no nada más se dedica a atender el número 01 800, sino que hace un monitoreo de medios de comunicación nacionales e internacionales.",0.0,25,16,03,2020
ANA DE LA GARZA BARROSO,¿Qué quiere decir?,0.0,3,16,03,2020
ANA DE LA GARZA BARROSO,Que nosotros también monitoreamos todo lo que ustedes emiten todos los días y estamos constantemente pendientes de lo que están dando de información a la población.,0.0,26,16,03,2020
ANA DE LA GARZA BARROSO,¿Esto por qué?,0.0,3,16,03,2020
ANA DE LA GARZA BARROSO,"Porque ustedes al final son colaboradores muy importantes para nuestro sistema. De hecho, ustedes también, con todo lo que emiten, nosotros tenemos que ir revisando esta información y dar a aquello una validación, a todo aquello que precisamente sí lo podemos confirmar y aquello que no se puede confirmar como tal.",0.0,51,16,03,2020
ANA DE LA GARZA BARROSO,"Hacemos como tal, somos un apoyo a los sistemas de vigilancia epidemiológica oficiales; es decir, además de todos los sistemas que emiten sus indicadores, hacemos, como ya les dije, la vigilancia de las fuentes oficiales internacionales.",0.0,36,16,03,2020
ANA DE LA GARZA BARROSO,"Opera 24/7, además funciona como un centro permanente de comunicación con la Organización Mundial de la Salud, en este caso vamos a tener que funcionar con el Centro Nacional de Enlace para el Reglamento Sanitario Internacional, es el brazo derecho de la Dirección General de Epidemiología para el Centro Nacional de Enlace.",0.0,52,16,03,2020
ANA DE LA GARZA BARROSO,"Tenemos contacto con los servicios de salud de forma permanente con todas las entidades federativas a través de esta unidad también y precisamente funciona como un centro de operaciones de emergencias, en donde se encuentra una sala de crisis, una sala de situación en donde se llevan a cabo ciertas actividades y por supuesto el centro de atención telefónica que todos ustedes conocen.",0.0,63,16,03,2020
ANA DE LA GARZA BARROSO,"Un poco de lo que hacemos se llama inteligencia epidemiológica. Esto se hace, repito, de forma permanente en nuestro país, es una gran fortaleza que tenemos en hacerlo de forma permanente y precisamente captamos entonces cualquier comunicado, cualquier noticia, cualquier evento también que informen los países de forma oficial y empezamos a emitir informes, análisis y, por lo tanto, a difundir también información con productos diarios a través de esta unidad.",0.0,71,16,03,2020
ANA DE LA GARZA BARROSO,Hacemos de dos formas:,0.0,4,16,03,2020
ANA DE LA GARZA BARROSO,"Una vigilancia basada en indicadores. Como les comentaba, esto es: rastreamos y hacemos el análisis de lo que ocurre en los sistemas oficiales.",0.0,23,16,03,2020
ANA DE LA GARZA BARROSO,"Y hacemos una vigilancia basada en eventos, en los que buscamos en diferentes fuentes, no necesariamente oficiales, todo lo que esté ocurriendo; y buscamos en datos que no están organizados, como en los sistemas oficiales que tenemos.",0.0,37,16,03,2020
ANA DE LA GARZA BARROSO,"Vamos dando seguimiento a todas las amenazas y no nada más al COVID, sino a muchos otros eventos que ocurren en el país, hacemos un monitoreo meteorológico volcánico y demás de forma permanente.",0.0,33,16,03,2020
