Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE TREJO GOMORA," Gracias, subsecretario. Buenas noches a todos.",0.0,6,9,04,2020
JORGE TREJO GOMORA,"Si pueden montar la presentación, por favor.",0.0,7,9,04,2020
JORGE TREJO GOMORA,Para el sistema nacional de sangre es verdaderamente importante que se abra este espacio en el marco de esta conferencia informativa precisamente para expresar e informar todo lo que está sucediendo en relación de sangre en el marco referente de COVID.,0.0,41,9,04,2020
JORGE TREJO GOMORA,Entonces para optimizar esta presentación voy a abordar dos puntos:,0.0,10,9,04,2020
JORGE TREJO GOMORA,El primer punto es la estrategia para el abastecimiento de sangre segura durante la pandemia por COVID-19.,0.0,17,9,04,2020
JORGE TREJO GOMORA,Y el segundo punto serán los protocolos de investigación. Y referente hago este llamado al uso de plasma convaleciente para atención de pacientes graves con COVID-19.,0.0,26,9,04,2020
JORGE TREJO GOMORA,"Entrando de lleno en la presentación, experiencias previas que se ha tenido con otras contingencias epidemiológicas, con otras pandemias, la experiencia que se está viviendo a nivel mundial y la experiencia que se está viviendo en México con COVID-19 sugieren y señalan que va a haber un impacto negativo significativo en el abasto de sangre.",0.0,55,9,04,2020
JORGE TREJO GOMORA,¿Por qué razón es esto?,0.0,5,9,04,2020
JORGE TREJO GOMORA,"Por una razón muy sencilla: el flujo de donantes de sangre efectivos en los bancos de sangre está disminuyendo; y no es una situación que únicamente esté viviendo este país, es en todos los países del mundo.",0.0,37,9,04,2020
JORGE TREJO GOMORA,"Y por situaciones inherentes al COVID, tanto la presentación de enfermedad, a la presentación de contacto o a la presentación de algunos otros factores, que tenemos que llamarle importancia también en este momento, como el mismo miedo que puede tener un posible donante a salir de su domicilio o de su resguardo y acudir a un banco de sangre a donar son puntos totalmente importantes que debemos de tener en cuenta precisamente para reconocer la situación que estamos viviendo en México y también en el mundo.",0.0,86,9,04,2020
JORGE TREJO GOMORA,Puede haber un desbasto de sangre y de componentes sanguíneos en el sistema nacional de sangre.,0.0,16,9,04,2020
JORGE TREJO GOMORA,"Hago énfasis y les pido aquí mucha atención. En este momento no hay un desabasto de sangre en el país, pero las medidas y acciones que debemos de tomar van encausadas precisamente a eso, a prevenir este desbasto.",0.0,38,9,04,2020
JORGE TREJO GOMORA,"Sin embargo, nos estamos enfrentando a este panorama que les he comentado, pero no hay que olvidar un punto muy importante: la donación de sangre debe de continuar, porque hay poblaciones de individuos que presentan algún tipo de enfermedad o algún tipo de urgencia en el cual la transfusión sanguínea es el único método para poder nuevamente sustituir la función de esta persona.",0.0,63,9,04,2020
JORGE TREJO GOMORA,"Y precisamente aquí tienen, por mencionar algunos grupos, grupos que requieren de la transfusión de manera frecuente y de manera urgente:",0.0,21,9,04,2020
JORGE TREJO GOMORA,"Primer grupo, los pacientes con enfermedades hematooncológicas, estos pacientes han perdido la función de un tejido, que es la médula ósea.",0.0,21,9,04,2020
JORGE TREJO GOMORA,¿Qué función tiene este tejido?,0.0,5,9,04,2020
JORGE TREJO GOMORA,Producir sangre. Han perdido esta función o no pueden producir su sangre tanto cuantitativa como cualitativamente o por separado.,0.0,19,9,04,2020
JORGE TREJO GOMORA,¿Qué necesidad tienen entonces estos pacientes?,0.0,6,9,04,2020
JORGE TREJO GOMORA,"Tienen necesidad de transfusión. Pongamos un ejemplo, situémonos en condiciones: cáncer infantil, leucemia. La leucemia aguda es una enfermedad que requiere tratamientos de quimioterapia intensiva, por lo menos en las dos primeras fases: inducción a la remisión, intensificación, etcétera.",0.0,39,9,04,2020
JORGE TREJO GOMORA,En este momento tanto pacientes pediátricos como adultos que estén siendo tratados con esos protocolos de quimioterapia van a requerir transfusión sanguínea y van a requerir transfusión sanguínea de manera frecuente y constante.,0.0,33,9,04,2020
JORGE TREJO GOMORA,"Otros padecimientos que requieren transfusión sanguínea de manera urgente, que puede ser que son individuos que no presentaron una enfermedad, pero que en un momento dado de urgencia están presentando el requerimiento transfusional y que no existe al menos otro fármaco para poder compensar esta función de la sangre o del componente sanguíneo a transfundir, me refiero a hemorragia obstétrica, traumatismo y accidentes.",0.0,63,9,04,2020
JORGE TREJO GOMORA,"A pesar de la situación que vivimos con la pandemia COVID, son situaciones que se presentan al día al día en la salud de México y que no escapa a ninguno de nosotros.",0.0,33,9,04,2020
JORGE TREJO GOMORA,"Punto importante también, el punto número 4 que ven ustedes: transfusión de componentes sanguíneos de vida media a corta.",0.0,19,9,04,2020
JORGE TREJO GOMORA,¿Qué es esto?,0.0,3,9,04,2020
JORGE TREJO GOMORA,"Los voy a poner en contexto. Cuando se dona sangre y se recolecta sangre, podemos obtener al menos tres diferentes componentes sanguíneos: el primero son los glóbulos rojos, llamado concentrado eritrocitario, el segundo es el plasma y el tercero son las plaquetas.",0.0,42,9,04,2020
JORGE TREJO GOMORA,"Los dos primeros tienen una característica: que su vida media los hace poderse prolongar un poco más que el último que he mencionado, que son las plaquetas.",0.0,27,9,04,2020
JORGE TREJO GOMORA,¿Cuánto es la vida media de las plaquetas cuando han sido extraídas o recolectadas de la sangre?,0.0,17,9,04,2020
JORGE TREJO GOMORA,"Cinco días. Y ahora pongan en cuenta en los pacientes con algún requerimiento en quimioterapia, requieren plaquetas de manera constante; entonces, aunque una persona haya donado plaquetas el día de hoy, el receptor puede estarlas requiriendo diario. ¿Cuánto tiempo? Lo que sea necesario.",0.0,43,9,04,2020
JORGE TREJO GOMORA,"Como ustedes pueden ver entonces, se presentan retos en el sistema nacional de sangre y son retos que tenemos que desarrollar acciones y estrategias que precisamente nos ayuden a superar estos retos para generar un abastecimiento de sangre segura durante la pandemia COVID.",0.0,43,9,04,2020
JORGE TREJO GOMORA,"Primer reto, disminución de la disponibilidad de donantes. Como ya les he comentado, el tránsito de los donantes de sangre en los bancos de sangre es bajo actualmente, registramos una baja del 60 hasta el 70 por ciento de lo acostumbrado para estas fechas. Recalco, al día de hoy no hay desabasto de componentes sanguíneos, lo que hay es un flujo bajo de donantes.",0.0,64,9,04,2020
JORGE TREJO GOMORA,"Mejorar el uso racional de la sangre. Por un lado tenemos el reto de recolectar más sangre, por otro lado tenemos el reto de que la sangre que está en los bancos de sangre pueda ser usada de la manera más efectiva y óptima para optimizar esta reserva o abasto.",0.0,50,9,04,2020
JORGE TREJO GOMORA,Suministro de materiales y equipos para el proceso de bancos de sangre.,0.0,12,9,04,2020
JORGE TREJO GOMORA,Y un punto totalmente en el Sistema Nacional de Sangre: la gestión del recurso humano que atiende los bancos de sangre.,0.0,21,9,04,2020
JORGE TREJO GOMORA,"Derivado de todo esto que les he hecho a manera de introducción para que entren en contexto, tienen ante ustedes una diapositiva con la que pretendo presentar la estrategia para el abastecimiento de sangre segura durante la pandemia COVID-19.",0.0,39,9,04,2020
JORGE TREJO GOMORA,"Es una estrategia que se ha diseñado en el Centro Nacional de la Transfusión Sanguínea y que esta estrategia como tal comenzó con las acciones desde el 31 de enero de este año. Precisamente ante la evidencia que veíamos que estaba ocurriendo en China, ante la inminente llegada del COVID-19 al país y ante el inminente paso de las diferentes fases que ha comentado el doctor López-Gatell, debemos de estar preparados ante diferentes escenarios.",0.0,74,9,04,2020
JORGE TREJO GOMORA,¿Cuál es el objetivo de esta estrategia para el abastecimiento de sangre segura?,0.0,13,9,04,2020
JORGE TREJO GOMORA,Establecer un plan nacional de trabajo que oriente a la toma de decisiones para la implementación de medidas eficaces que garanticen el abastecimiento de componentes sanguíneos a toda la red nacional de sangre mediante lineamientos aplicables de manera nacional durante la pandemia COVID-19.,0.0,43,9,04,2020
JORGE TREJO GOMORA,Y derivado de este punto tenemos cuatro objetivos específicos para seguir y para poder cumplir durante esta pandemia.,0.0,18,9,04,2020
JORGE TREJO GOMORA,"Número uno, optimizar las reservas de componentes sanguíneos almacenados.",0.0,9,9,04,2020
JORGE TREJO GOMORA,"Número dos, dar continuidad a los servicios de sangre.",0.0,9,9,04,2020
JORGE TREJO GOMORA,"Número tres, garantizar la seguridad del donante y del personal de Banco de Sangre.",0.0,14,9,04,2020
JORGE TREJO GOMORA,"Y número cuatro, evitar la propagación de SARS-CoV2 en la cadena transfuncional.",0.0,12,9,04,2020
JORGE TREJO GOMORA,"Estos objetivos específicos para que puedan ser cumplidos se acompañan de 10 estratégicas que ustedes ven enmarcadas, y son 10 estrategias que se han presentado, como les he dicho, y se han comenzado a accionarse del 31 de enero de este año.",0.0,42,9,04,2020
